name,protein,fat,fiber,carbo,sugars,potass,vitamins,rating
100% Bran,4,1,10,5,6,280,25,68.402973
100% Natural Bran,3,5,2,8,8,135,0,33.983679
All-Bran,4,1,9,7,5,320,25,59.425505
All-Bran with Extra Fiber,4,0,14,8,0,330,25,93.704912
Almond Delight,2,2,1,14,8,-1,25,34.384843
Apple Cinnamon Cheerios,2,2,1.5,10.5,10,70,25,29.509541
Apple Jacks,2,0,1,11,14,30,25,33.174094
Basic 4,3,2,2,18,8,100,25,37.038562
Bran Chex,2,1,4,15,6,125,25,49.120253
Bran Flakes,3,0,5,13,5,190,25,53.313813
Cap'n'Crunch,1,2,0,12,12,35,25,18.042851
Cheerios,6,2,2,17,1,105,25,50.764999
Cinnamon Toast Crunch,1,3,0,13,9,45,25,19.823573
Clusters,3,2,2,13,7,105,25,40.400208
Cocoa Puffs,1,1,0,12,13,55,25,22.736446
Corn Chex,2,0,0,22,3,25,25,41.445019
Corn Flakes,2,0,1,21,2,35,25,45.863324
Corn Pops,1,0,1,13,12,20,25,35.782791
Count Chocula,1,1,0,12,13,65,25,22.396513
Cracklin' Oat Bran,3,3,4,10,7,160,25,40.448772
Cream of Wheat (Quick),3,0,1,21,0,-1,0,64.533816
Crispix,2,0,1,21,3,30,25,46.895644
Crispy Wheat & Raisins,2,1,2,11,10,120,25,36.176196
Double Chex,2,0,1,18,5,80,25,44.330856
Froot Loops,2,1,1,11,13,30,25,32.207582
Frosted Flakes,1,0,1,14,11,25,25,31.435973
Frosted Mini-Wheats,3,0,3,14,7,100,25,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,3,2,5,12,10,200,25,40.917047
Fruitful Bran,3,0,5,14,12,190,25,41.015492
Fruity Pebbles,1,1,0,13,12,25,25,28.025765
Golden Crisp,2,0,0,11,15,40,25,35.252444
Golden Grahams,1,1,0,15,9,45,25,23.804043
Grape Nuts Flakes,3,1,3,15,5,85,25,52.076897
Grape-Nuts,3,0,3,17,3,90,25,53.371007
Great Grains Pecan,3,3,3,13,4,100,25,45.811716
Honey Graham Ohs,1,2,1,12,11,45,25,21.871292
Honey Nut Cheerios,3,1,1.5,11.5,10,90,25,31.072217
Honey-comb,1,0,0,14,11,35,25,28.742414
Just Right Crunchy  Nuggets,2,1,1,17,6,60,100,36.523683
Just Right Fruit & Nut,3,1,2,20,9,95,100,36.471512
Kix,2,1,0,21,3,40,25,39.241114
Life,4,2,2,12,6,95,25,45.328074
Lucky Charms,2,1,0,12,12,55,25,26.734515
Maypo,4,1,0,16,3,95,25,54.850917
Muesli Raisins; Dates; & Almonds,4,3,3,16,11,170,25,37.136863
Muesli Raisins; Peaches; & Pecans,4,3,3,16,11,170,25,34.139765
Mueslix Crispy Blend,3,2,3,17,13,160,25,30.313351
Multi-Grain Cheerios,2,1,2,15,6,90,25,40.105965
Nut&Honey Crunch,2,1,0,15,9,40,25,29.924285
Nutri-Grain Almond-Raisin,3,2,3,21,7,130,25,40.69232
Nutri-grain Wheat,3,0,3,18,2,90,25,59.642837
Oatmeal Raisin Crisp,3,2,1.5,13.5,10,120,25,30.450843
Post Nat. Raisin Bran,3,1,6,11,14,260,25,37.840594
Product 19,3,0,1,20,3,45,100,41.50354
Puffed Rice,1,0,0,13,0,15,0,60.756112
Puffed Wheat,2,0,1,10,0,50,0,63.005645
Quaker Oat Squares,4,1,2,14,6,110,25,49.511874
Quaker Oatmeal,5,2,2.7,-1,-1,110,0,50.828392
Raisin Bran,3,1,5,14,12,240,25,39.259197
Raisin Nut Bran,3,2,2.5,10.5,8,140,25,39.7034
Raisin Squares,2,0,2,15,6,110,25,55.333142
Rice Chex,1,0,0,23,2,30,25,41.998933
Rice Krispies,2,0,0,22,3,35,25,40.560159
Shredded Wheat,2,0,3,16,0,95,0,68.235885
Shredded Wheat 'n'Bran,3,0,4,19,0,140,0,74.472949
Shredded Wheat spoon size,3,0,3,20,0,120,0,72.801787
Smacks,2,1,1,9,15,40,25,31.230054
Special K,6,0,1,16,3,55,25,53.131324
Strawberry Fruit Wheats,2,0,3,15,5,90,25,59.363993
Total Corn Flakes,2,1,0,21,3,35,100,38.839746
Total Raisin Bran,3,1,4,15,14,230,100,28.592785
Total Whole Grain,3,1,3,16,3,110,100,46.658844
Triples,2,1,0,21,3,60,25,39.106174
Trix,1,1,0,13,12,25,25,27.753301
Wheat Chex,3,1,3,17,3,115,25,49.787445
Wheaties,3,1,3,17,3,110,25,51.592193
Wheaties Honey Gold,2,1,1,16,8,60,25,36.187559
